City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,agat village,13.3886,144.6585,29.64,75,20,7.2,GU,1686871689
313,zeya,53.75,127.2667,15.16,57,99,1.63,RU,1686871689
314,tazacorte,28.629,-17.9293,22.54,95,75,4.63,ES,1686871689
315,la sarre,48.8002,-79.1996,18.29,65,85,2.44,CA,1686871689
316,hede,33.7681,120.2517,24.95,58,94,3.93,CN,1686871689
317,brownwood,31.7093,-98.9912,37.0,52,0,6.69,US,1686871642
318,north myrtle beach,33.816,-78.68,27.99,75,0,9.26,US,1686871690
319,gadzhiyevo,69.2551,33.3362,4.76,66,68,9.08,RU,1686871690
320,prince rupert,54.3161,-130.3201,12.05,79,100,17.49,CA,1686871683
321,douglas,41.3,-96.167,31.84,41,40,4.12,US,1686871690
322,nova sintra,14.8667,-24.7167,21.19,78,34,5.65,CV,1686871690
323,pahrump,36.2083,-115.9839,34.41,19,11,3.58,US,1686871691
324,huaihua,27.5494,109.9592,20.52,92,94,1.53,CN,1686871691
325,tambopata,-12.7333,-69.1833,15.94,77,0,0.51,PE,1686871691
326,paramaribo,5.8667,-55.1667,25.03,93,20,1.03,SR,1686871691
327,scottburgh,-30.2867,30.7532,15.52,86,31,2.75,ZA,1686871427
328,charlotte amalie,18.3419,-64.9307,29.25,79,40,4.63,VI,1686871692
329,mata-utu,-13.2816,-176.1745,28.22,78,81,6.17,WF,1686871692
330,liwale,-9.7667,37.9333,16.26,58,82,0.48,TZ,1686871692
331,kayangel,8.0823,134.7173,28.37,73,67,3.32,PW,1686871692
332,goroka,-6.0834,145.3873,19.12,86,100,0.95,PG,1686871692
333,nguruka,-5.1092,31.0419,18.59,64,21,1.2,TZ,1686871692
334,ust-nera,64.5667,143.2,17.02,48,99,1.42,RU,1686871692
335,saynshand,44.8824,110.1163,26.42,17,91,3.34,MN,1686871693
336,moree,-29.4667,149.85,10.19,56,0,1.24,AU,1686871693
337,vila do maio,15.1333,-23.2167,24.44,80,40,3.97,CV,1686871693
338,ha'il,27.5219,41.6907,28.01,24,0,3.09,SA,1686871693
339,belyy yar,53.6039,91.3903,8.94,87,0,0.0,RU,1686871693
340,san borja,-14.8167,-66.85,14.74,79,97,0.58,BO,1686871693
341,nemuro,43.3236,145.575,14.11,94,98,3.08,JP,1686871694
342,fredericksburg,38.3032,-77.4605,27.99,43,40,2.06,US,1686871679
343,vondrozo,-22.8167,47.2833,14.47,74,0,2.02,MG,1686871694
344,sakakah,29.9697,40.2064,25.76,29,0,5.94,SA,1686871694
345,lazaro cardenas,17.9583,-102.2,30.67,63,67,5.55,MX,1686871637
346,forster,-32.1667,152.5167,13.54,76,0,2.25,AU,1686871694
347,tambura,5.6,27.4667,20.24,88,92,1.07,SS,1686871523
348,luderitz,-26.6481,15.1594,13.67,81,0,2.77,NA,1686871695
349,caucete,-31.6518,-68.2811,12.56,26,2,2.2,AR,1686871695
350,ouani,-12.1322,44.4258,25.44,72,84,2.08,KM,1686871695
351,howrah,22.5892,88.3103,31.0,89,40,4.63,IN,1686871414
352,porto novo,6.4965,2.6036,26.9,93,100,2.38,BJ,1686871695
353,savanna-la-mar,18.219,-78.1332,29.97,73,80,1.32,JM,1686871696
354,kentau,43.5206,68.5094,24.41,23,37,7.57,KZ,1686871696
355,togur,58.3631,82.8265,4.84,83,4,3.11,RU,1686871441
356,bandon,51.7469,-8.7425,14.77,92,58,1.45,IE,1686871696
357,kedrovyy,56.1667,91.8167,12.23,69,11,2.57,RU,1686871696
358,zouerate,22.7187,-12.4521,32.53,13,0,4.52,MR,1686871621
359,kantunilkin,21.0917,-87.45,33.13,53,53,3.52,MX,1686871696
360,port hedland,-20.3167,118.5667,18.03,27,90,0.0,AU,1686871697
361,luwuk,-0.9516,122.7875,25.29,86,98,2.43,ID,1686871697
362,monschau,50.55,6.25,16.16,73,12,0.51,DE,1686871697
363,alzamay,55.5562,98.6644,9.72,61,5,1.71,RU,1686871697
